Legislatura,nome parlamentar,total_dias_de_mandato
54,PEDRO PAULO,8
54,PEDRO PAULO,2
54,PEDRO PAULO,8
54,PEDRO PAULO,128
54,PEDRO PAULO,7
54,PEDRO PAULO,4
54,PEDRO PAULO,3
54,PEDRO PAULO,293
54,PEDRO PAULO,2
54,PEDRO UCZAI,1287
54,PEDRO UCZAI,52
54,PENNA,1460
54,PEPE VARGAS,407
54,PEPE VARGAS,290
54,PEPE VARGAS,0
54,PERPÉTUA ALMEIDA,1460
54,PINTO DE LUNA,29
54,PINTO ITAMARATY,497
54,PINTO ITAMARATY,842
54,PLÍNIO VALÉRIO,266
54,POLICARPO,484
54,POLICARPO,920
54,PROFESSOR SÉRGIO DE OLIVEIRA,120
54,PROFESSOR SÉRGIO DE OLIVEIRA,421
54,PROFESSOR SÉRGIO DE OLIVEIRA,30
54,PROFESSOR SETIMO,1460
54,PROFESSOR VICTÓRIO GALLI,120
54,PROFESSORA DORINHA SEABRA REZENDE,1460
54,PROFESSORA MARCIVANIA,161
54,RAIMUNDÃO,371
54,RAIMUNDÃO,199
54,RAIMUNDO GOMES DE MATOS,1460
54,RATINHO JUNIOR,553
54,RATINHO JUNIOR,63
54,RATINHO JUNIOR,272
54,RAUL HENRY,1428
54,RAUL LIMA,1460
54,REBECCA GARCIA,680
54,REBECCA GARCIA,430
54,REGINALDO LOPES,1460
54,REGUFFE,1460
54,REINALDO AZAMBUJA,1427
54,REINHOLD STEPHANES,737
54,REINHOLD STEPHANES,296
54,RENAN FILHO,1430
54,RENATO ANDRADE,302
54,RENATO ANDRADE,29
54,RENATO ANDRADE,79
54,RENATO MOLLING,1460
54,RENATO SIMÕES,479
54,RENZO BRAZ,1460
54,RIBAMAR ALVES,321
54,RIBAMAR ALVES,252
54,RICARDO ARCHER,126
54,RICARDO ARRUDA,117
54,RICARDO BERZOINI,1155
54,RICARDO IZAR,1460
54,RICARDO QUIRINO,165
54,RICARDO TRIPOLI,1460
54,ROBERTO BALESTRA,1460
54,ROBERTO BRITTO,1460
54,ROBERTO DE LUCENA,1430
54,ROBERTO DORNER,287
54,ROBERTO DORNER,410
54,ROBERTO FREIRE,1460
54,ROBERTO SANTIAGO,1460
54,ROBERTO TEIXEIRA,1460
54,RODRIGO BETHLEM,28
