ano,legislatura,anolegislatura,uf,partido,tipo,representatividade,distancia,vagas,eleitores,cota,valor
2015,55,1,AC,PSB,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,2246,8,506724,44260.60,789.88
2017,55,3,AC,PSDB,TELEFONIA,54,2246,8,506724,44260.60,10136.27
2017,55,3,AC,PSB,LOCAÇÃO DE AUTOMÓVEIS,34,2246,8,506724,44260.60,126536.36
2018,55,4,AC,DEM,TELEFONIA,21,2246,8,506724,44260.60,5696.85
2017,55,3,AC,MDB,MANUTENÇÃO DE ESCRITÓRIO,65,2246,8,506724,44260.60,41931.66
2015,55,1,AC,PT,ASSINATURA DE PUBLICAÇÕES,68,2246,8,506724,44260.60,4518.00
2019,55,5,AC,PSDB,TELEFONIA,54,2246,8,506724,44260.60,2.53
2016,55,2,AC,PSB,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",34,2246,8,506724,44260.60,507.59
2018,55,4,AC,MDB,DIVULGAÇÃO MANDATO,65,2246,8,506724,44260.60,415701.40
2015,55,1,AC,MDB,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,65,2246,8,506724,44260.60,2926.00
2019,55,5,AC,DEM,ASSESSORIA TÉCNICA/JURÍDICA,21,2246,8,506724,44260.60,6750.00
2016,55,2,AC,PT,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,2246,8,506724,44260.60,321.50
2019,55,5,AC,PSD,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",36,2246,8,506724,44260.60,1193.50
2018,55,4,AC,DEM,SERVIÇOS POSTAIS,21,2246,8,506724,44260.60,944.80
2019,55,5,AC,MDB,PASSAGEM AÉREA,65,2246,8,506724,44260.60,20457.43
2017,55,3,AC,PT,"SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO",68,2246,8,506724,44260.60,3358.11
2016,55,2,AC,PSDB,MANUTENÇÃO DE ESCRITÓRIO,54,2246,8,506724,44260.60,11070.06
2016,55,2,AC,DEM,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,21,2246,8,506724,44260.60,4258.76
2018,55,4,AC,PSB,"HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL.",34,2246,8,506724,44260.60,1920.35
