"","ano","mes","legislatura","uf","partido","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"112428","2017","7","55","PR","PDT",20,1081,30,7865950,38500,116.28,"1393"
"87259","2017","7","55","PB","PTB",25,1716,12,2835882,41660.7,940,"1064"
"141684","2017","7","55","RR","MDB",65,2496,8,299558,45240.67,28766.45,"1736"
"7895","2017","7","55","AL","PSB",34,1485,9,1995727,40572.24,572.35,"91"
"87190","2017","7","55","PB","PROS",11,1716,12,2835882,41660.7,97.7,"1062"
"75885","2017","7","55","MT","PSDB",54,873,8,2189703,39056.17,257.69,"927"
"38094","2017","7","55","ES","PCdoB",10,947,10,2653536,37052.05,121.76,"470"
"148116","2017","7","55","RS","PSDB",54,1619,31,8392033,40504.04,1759.95,"1827"
"161055","2017","7","55","SC","MDB",65,1314,16,4859324,39505.92,22210,"1960"
"123089","2017","8","55","RJ","PSOL",5,933,46,12141145,35388.11,20331.96,"1565"
"102728","2017","8","55","PE","PATRIOTA",5,1657,25,6356307,41304.94,213.05,"1255"
"150283","2017","8","55","RS","PL",34,1619,31,8392033,40504.04,4500,"1894"
"159212","2017","8","55","SC","CIDADANIA",10,1314,16,4859324,39505.92,400,"1941"
"164220","2017","8","55","SE","PSB",34,1292,8,1454165,39767.4,8083.15,"2034"
"63394","2017","8","55","MG","PP",38,624,53,15248681,35720.85,6572.05,"814"
"84007","2017","8","55","PA","PTB",25,1592,17,5188450,41855.59,961.09,"999"
"100386","2017","8","55","PE","PDT",20,1657,25,6356307,41304.94,9126.01,"1205"
"31789","2017","8","55","CE","REPUBLICANOS",21,1687,22,6271554,42079.91,10563.3,"391"
"144184","2017","9","55","RR","DEM",21,2496,8,299558,45240.67,8500,"1747"
"88342","2017","9","55","PB","PSB",34,1716,12,2835882,41660.7,1046.68,"1061"
"70158","2017","9","55","MG","PL",34,624,53,15248681,35720.85,854.82,"830"
"13936","2017","9","55","AP","PSB",34,1791,8,455514,43002.92,3000,"164"
"72478","2017","9","55","MS","MDB",65,878,8,1818937,40170.98,526.15,"867"
"14518","2017","9","55","AP","PSD",36,1791,8,455514,43002.92,374.53,"175"
"103150","2017","9","55","PE","PODEMOS",9,1657,25,6356307,41304.94,7000,"1232"
"22111","2017","9","55","BA","REPUBLICANOS",21,1060,39,10185417,38638.99,9500,"281"
"61804","2017","9","55","MG","PDT",20,624,53,15248681,35720.85,2887.56,"764"
"46955","2017","10","55","GO","PSD",36,173,17,4331733,35135.2,22400,"543"
"4835","2017","10","55","AL","PT",68,1485,9,1995727,40572.24,2468.6,"64"
"28935","2017","10","55","CE","PL",34,1687,22,6271554,42079.91,7890,"314"
"145892","2017","10","55","RS","PL",34,1619,31,8392033,40504.04,3791.86,"1764"
"175458","2017","10","55","SP","PT",68,873,70,31998432,36671.67,28651.05,"2084"
"83829","2017","10","55","PA","MDB",65,1592,17,5188450,41855.59,17900,"966"
"137424","2017","10","55","RO","MDB",65,1900,8,1127154,43300.63,1861,"1664"
"122937","2017","10","55","RJ","REPUBLICANOS",21,933,46,12141145,35388.11,134.94,"1531"
"126198","2017","10","55","RJ","PSL",1,933,46,12141145,35388.11,694.02,"1592"
"35993","2017","11","55","DF","PT",68,0,8,1897677,30416.8,3190.11,"425"
"11053","2017","11","55","AM","DEM",21,1932,8,2226891,43198.26,366,"126"
"11009","2017","11","55","AM","PP",38,1932,8,2226891,43198.26,2607.83,"123"
"107398","2017","11","55","PI","DEM",21,1313,10,2345694,40599.91,3947.67,"1267"
"179866","2017","11","55","SP","PT",68,873,70,31998432,36671.67,2091.27,"2144"
"47931","2017","11","55","GO","REPUBLICANOS",21,173,17,4331733,35135.2,5364.94,"565"
"87959","2017","11","55","PB","PL",34,1716,12,2835882,41660.7,203.45,"1043"
"114590","2017","11","55","PR","PROS",11,1081,30,7865950,38500,1089.99,"1413"
"104413","2017","11","55","PI","PTB",25,1313,10,2345694,40599.91,121.77,"1227"
"146185","2017","12","55","RS","PP",38,1619,31,8392033,40504.04,1364.68,"1554"
