"","ano","mes","legislatura","uf","representatividade","distancia","vagas","eleitores","cota","valor","orig.id"
"122064","2015","9","55","PR",68,1081,30,7865950,38500,281,"48"
"126198","2015","9","55","PR",36,1081,30,7865950,38500,1971.19,"107"
"127222","2015","9","55","PR",10,1081,30,7865950,38500,33,"125"
"133805","2015","9","55","RJ",68,933,46,12141145,35388.11,485.74,"12"
"140212","2015","9","55","RJ",9,933,46,12141145,35388.11,11139.69,"159"
"139973","2015","9","55","RJ",21,933,46,12141145,35388.11,89,"150"
"146570","2015","9","55","RN",9,1775,8,2327451,42360.13,34300,"1"
"153758","2015","9","55","RO",34,1900,8,1127154,43300.63,1755.03,"25"
"159841","2015","9","55","RR",21,2496,8,299558,45240.67,6456.48,"40"
"164590","2015","9","55","RS",65,1619,31,8392033,40504.04,2511.67,"62"
"166497","2015","9","55","RS",34,1619,31,8392033,40504.04,48410,"101"
"178468","2015","9","55","SC",10,1314,16,4859324,39505.92,757.29,"55"
"178880","2015","9","55","SC",10,1314,16,4859324,39505.92,274.7,"65"
"182590","2015","9","55","SE",68,1292,8,1454165,39767.4,3052,"43"
"195416","2015","9","55","SP",68,873,70,31998432,36671.67,15066,"99"
"199841","2015","9","55","SP",5,873,70,31998432,36671.67,19544.83,"188"
"187841","2015","9","55","SP",65,873,70,31998432,36671.67,3500,"2"
"204377","2015","9","55","TO",11,620,8,996887,39131.75,3054.9,"18"
"4127","2015","10","55","AC",34,2246,8,506724,44260.6,2900,"42"
"4936","2015","10","55","AL",54,1485,9,1995727,40572.24,5598.38,"11"
"12590","2015","10","55","AM",34,1932,8,2226891,43198.26,43.21,"43"
"14304","2015","10","55","AP",9,1791,8,455514,43002.92,50,"12"
"22466","2015","10","55","BA",36,1060,39,10185417,38638.99,35500,"61"
"21463","2015","10","55","BA",20,1060,39,10185417,38638.99,5767.19,"44"
"36679","2015","10","55","CE",10,1687,22,6271554,42079.91,11836.57,"85"
"37980","2015","10","55","CE",65,1687,22,6271554,42079.91,6000,"110"
"40168","2015","10","55","DF",15,0,8,1897677,30416.8,221.6,"7"
"45610","2015","10","55","ES",1,947,10,2653536,37052.05,1642.14,"67"
"51433","2015","10","55","GO",10,173,17,4331733,35135.2,9500,"4"
"54000","2015","10","55","GO",68,173,17,4331733,35135.2,5099.83,"67"
"55660","2015","10","55","MA",21,1524,18,4497336,41779.83,2608.41,"1"
