"","id","ano","mes","legislatura","anolegislatura","uf","partido","tipo","representatividade","distancia","vagas","eleitores","cota","valor","quantidade","orig.id"
"110630",157959,"2015","2","55","1","PE","PROS","COMBUSTÍVEIS E LUBRIFICANTES",11,1657,25,6356307,41304.94,2963.45,22,"4"
"114541",44489,"2015","2","55","1","PE","PSB","COMBUSTÍVEIS E LUBRIFICANTES",34,1657,25,6356307,41304.94,5048.35,7,"7"
"112028",197769,"2015","2","55","1","PE","PSD","SERVIÇOS POSTAIS",36,1657,25,6356307,41304.94,11390,1,"2"
"109354",24099,"2015","2","55","1","PE","PSDB","COMBUSTÍVEIS E LUBRIFICANTES",54,1657,25,6356307,41304.94,3696.96,29,"2"
"114504",44553,"2015","2","55","1","PE","PTB","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",25,1657,25,6356307,41304.94,158.95,3,"10"
"114826",113672,"2015","2","55","1","PE","SOLIDARIEDADE","MANUTENÇÃO DE ESCRITÓRIO",15,1657,25,6356307,41304.94,15713.01,8,"9"
"116104",79119,"2015","2","55","1","PI","DEM","ASSINATURA DE PUBLICAÇÕES",21,1313,10,2345694,40599.91,160,2,"3"
"119345",94346,"2015","2","55","1","PI","MDB","LOCAÇÃO DE AUTOMÓVEIS",65,1313,10,2345694,40599.91,10000,2,"7"
"118935",27309,"2015","2","55","1","PI","PL","COMBUSTÍVEIS E LUBRIFICANTES",34,1313,10,2345694,40599.91,1071.35,7,"3"
"116836",199161,"2015","2","55","1","PI","PP","TELEFONIA",38,1313,10,2345694,40599.91,1383.9,10,"3"
"116153",186778,"2015","2","55","1","PI","PSB","LOCAÇÃO DE AUTOMÓVEIS",34,1313,10,2345694,40599.91,19800,3,"2"
"119666",95366,"2015","2","55","1","PI","PSD","TELEFONIA",36,1313,10,2345694,40599.91,2962.14,15,"6"
"119295",42349,"2015","2","55","1","PI","PT","LOCAÇÃO DE AUTOMÓVEIS",68,1313,10,2345694,40599.91,10000,1,"4"
"116552",48803,"2015","2","55","1","PI","PTB","TELEFONIA",25,1313,10,2345694,40599.91,1562.29,14,"3"
"124731",77615,"2015","2","55","1","PR","CIDADANIA","PASSAGEM AÉREA",10,1081,30,7865950,38500,15840.49,30,"7"
"126974",84423,"2015","2","55","1","PR","DEM","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",21,1081,30,7865950,38500,593.54,10,"5"
"121326",85861,"2015","2","55","1","PR","MDB","TELEFONIA",65,1081,30,7865950,38500,6469.62,30,"3"
"121820",37913,"2015","2","55","1","PR","PDT","DIVULGAÇÃO MANDATO",20,1081,30,7865950,38500,14800,1,"4"
"127507",114615,"2015","2","55","1","PR","PL","SERVIÇOS POSTAIS",34,1081,30,7865950,38500,666.53,17,"11"
"124206",98621,"2015","2","55","1","PR","PODEMOS","TELEFONIA",9,1081,30,7865950,38500,382.73,3,"3"
"126202",132894,"2015","2","55","1","PR","PP","TELEFONIA",38,1081,30,7865950,38500,12132.45,75,"8"
"121744",82403,"2015","2","55","1","PR","PROS","MANUTENÇÃO DE ESCRITÓRIO",11,1081,30,7865950,38500,3479.39,6,"4"
"127459",2607,"2015","2","55","1","PR","PSB","SERVIÇOS POSTAIS",34,1081,30,7865950,38500,920.44,12,"11"
"127003",137937,"2015","2","55","1","PR","PSC","FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR",13,1081,30,7865950,38500,2630.42,44,"7"
"123849",17527,"2015","2","55","1","PR","PSD","ASSESSORIA TÉCNICA/JURÍDICA",36,1081,30,7865950,38500,16450,2,"5"
"122044",66122,"2015","2","55","1","PR","PSDB","SERVIÇOS POSTAIS",54,1081,30,7865950,38500,366.97,7,"4"
